user_id,timestamp,event_type,duration,engagement_level,text_data,location,time_of_day
611,2023-10-05 07:22:00,Exercise,12,5,Workout session,Gym,Morning
42,2023-10-13 22:11:00,Meeting,30,1,Client meeting,Gym,Evening
253,2023-10-19 01:49:00,Meeting,12,3,Had a coffee break,Home,Morning
500,2023-10-04 00:39:00,Meeting,15,2,Discuss project,Gym,Morning
user_149,2023-10-16 21:27:00,Casual Lunch,12,3,Client meeting,Home,Evening
732,2023-10-05 12:35:00,Exercise,15,2,Casual chat with friends,Home,Afternoon
user_40,2023-10-08 07:18:00,Social Interaction,30,2,Lunch with colleagues,Gym,Morning
user_118,2023-10-03 09:29:00,Commute,60,3,Had a coffee break,Outdoor,Morning
685,2023-10-21 02:31:00,Commute,20,5,Casual chat with friends,Outdoor,Morning
333,2023-10-01 08:33:00,Social Interaction,30,1,Relaxing at home,Outdoor,Morning
user_99,2023-10-24 18:54:00,Casual Lunch,60,4,Team brainstorming,Home,Evening
user_13,2023-10-02 14:24:00,Social Interaction,15,5,Solo reading session,Gym,Afternoon
user_62,2023-10-09 09:09:00,Commute,45,4,Went for a walk,Gym,Morning
699,2023-10-12 02:52:00,Commute,30,5,Relaxing at home,Outdoor,Morning
9,2023-10-23 22:12:00,Exercise,60,5,Went for a walk,Home,Evening
815,2023-10-07 02:06:00,Social Interaction,60,1,Long commute,Outdoor,Morning
user_163,2023-10-11 11:25:00,Casual Lunch,15,3,Casual chat with friends,Home,Morning
user_60,2023-10-11 20:55:00,Meeting,60,3,Team brainstorming,Home,Evening
645,2023-10-05 11:36:00,Commute,45,3,Long commute,Office,Morning
962,2023-10-13 09:04:00,Casual Lunch,45,4,Went for a walk,Home,Morning
user_181,2023-10-13 01:06:00,Exercise,60,4,Casual chat with friends,Home,Morning
user_380,2023-10-17 16:35:00,Meeting,30,2,Casual chat with friends,Home,Afternoon
user_317,2023-10-22 15:06:00,Commute,45,4,Had a coffee break,Office,Afternoon
user_343,2023-10-04 15:13:00,Break,20,5,Relaxing at home,Office,Afternoon
user_234,2023-10-01 13:35:00,Meeting,15,4,Client meeting,Gym,Afternoon
135,2023-10-28 01:15:00,Exercise,15,3,Workout session,Office,Morning
276,2023-10-12 17:43:00,Exercise,30,3,Team brainstorming,Gym,Afternoon
908,2023-10-12 09:35:00,Social Interaction,20,4,Workout session,Gym,Morning
user_270,2023-10-19 18:08:00,Casual Lunch,12,5,Discuss project,Office,Evening
user_63,2023-10-20 11:11:00,Meeting,60,3,Relaxing at home,Office,Morning
71,2023-10-29 20:02:00,Casual Lunch,60,5,Solo reading session,Home,Evening
user_271,2023-10-16 22:24:00,Social Interaction,15,2,Had a coffee break,Home,Evening
user_334,2023-10-30 06:22:00,Casual Lunch,30,3,Workout session,Office,Morning
user_36,2023-10-05 20:20:00,Exercise,60,4,Team brainstorming,Office,Evening
user_22,2023-10-09 02:53:00,Commute,20,5,Long commute,Outdoor,Morning
user_216,2023-10-13 22:17:00,Commute,30,2,Went for a walk,Office,Evening
user_173,2023-10-11 14:23:00,Commute,15,5,Solo reading session,Home,Afternoon
user_429,2023-10-27 02:05:00,Commute,60,4,Workout session,Outdoor,Morning
737,2023-10-11 10:12:00,Break,12,2,Discuss project,Gym,Morning
user_34,2023-10-03 19:19:00,Break,45,4,Workout session,Gym,Evening
user_283,2023-10-06 14:26:00,Casual Lunch,60,1,Relaxing at home,Home,Afternoon
user_89,2023-10-03 18:40:00,Meeting,30,1,Team brainstorming,Outdoor,Evening
user_20,2023-10-22 08:36:00,Social Interaction,12,1,Long commute,Home,Morning
user_464,2023-10-26 14:03:00,Exercise,20,2,Had a coffee break,Gym,Afternoon
379,2023-10-27 10:42:00,Meeting,45,5,Discuss project,Gym,Morning
336,2023-10-27 00:43:00,Social Interaction,45,5,Lunch with colleagues,Outdoor,Morning
user_471,2023-10-29 13:15:00,Commute,15,3,Client meeting,Gym,Afternoon
user_189,2023-10-22 03:44:00,Break,20,1,Networking event,Outdoor,Morning
507,2023-10-09 06:01:00,Break,45,3,Client meeting,Office,Morning
927,2023-10-10 18:50:00,Commute,15,1,Discuss project,Outdoor,Evening
user_348,2023-10-07 13:36:00,Casual Lunch,12,1,Went for a walk,Office,Afternoon
user_151,2023-10-21 19:27:00,Commute,15,2,Solo reading session,Outdoor,Evening
user_236,2023-10-27 09:08:00,Break,12,2,Had a coffee break,Outdoor,Morning
494,2023-10-24 03:24:00,Commute,60,2,Networking event,Home,Morning
684,2023-10-23 05:04:00,Exercise,30,5,Casual chat with friends,Home,Morning
799,2023-10-06 15:04:00,Commute,60,1,Team brainstorming,Home,Afternoon
487,2023-10-03 23:07:00,Commute,30,4,Had a coffee break,Gym,Evening
560,2023-10-29 19:26:00,Casual Lunch,45,1,Long commute,Office,Evening
968,2023-10-09 15:37:00,Casual Lunch,60,2,Relaxing at home,Outdoor,Afternoon
user_64,2023-10-29 00:09:00,Casual Lunch,60,2,Workout session,Office,Morning
885,2023-10-03 19:15:00,Break,15,3,Team brainstorming,Office,Evening
user_266,2023-10-16 08:34:00,Break,15,5,Discuss project,Gym,Morning
341,2023-10-24 19:41:00,Break,12,3,Discuss project,Outdoor,Evening
834,2023-10-23 16:59:00,Exercise,30,2,Casual chat with friends,Office,Afternoon
user_61,2023-10-17 15:18:00,Meeting,30,4,Discuss project,Outdoor,Afternoon
824,2023-10-30 12:59:00,Exercise,45,3,Discuss project,Home,Afternoon
269,2023-10-21 09:28:00,Break,60,3,Casual chat with friends,Gym,Morning
904,2023-10-07 05:22:00,Commute,60,3,Discuss project,Gym,Morning
user_240,2023-10-25 06:00:00,Exercise,30,4,Lunch with colleagues,Office,Morning
user_238,2023-10-05 14:23:00,Commute,45,4,Solo reading session,Outdoor,Afternoon
914,2023-10-05 09:15:00,Break,20,1,Client meeting,Gym,Morning
910,2023-10-19 14:06:00,Break,60,2,Discuss project,Outdoor,Afternoon
397,2023-10-24 20:10:00,Commute,15,1,Client meeting,Outdoor,Evening
user_280,2023-10-10 06:28:00,Meeting,20,1,Discuss project,Gym,Morning
user_206,2023-10-07 02:31:00,Social Interaction,45,1,Long commute,Outdoor,Morning
user_253,2023-10-12 07:54:00,Exercise,45,4,Lunch with colleagues,Outdoor,Morning
185,2023-10-02 15:14:00,Casual Lunch,12,1,Long commute,Office,Afternoon
759,2023-10-25 18:56:00,Meeting,60,4,Lunch with colleagues,Outdoor,Evening
user_123,2023-10-19 22:04:00,Commute,15,2,Lunch with colleagues,Gym,Evening
365,2023-10-19 09:56:00,Commute,45,5,Workout session,Gym,Morning
user_404,2023-10-29 03:25:00,Exercise,30,1,Had a coffee break,Outdoor,Morning
user_362,2023-10-22 19:26:00,Break,15,3,Workout session,Home,Evening
757,2023-10-04 11:50:00,Commute,60,3,Client meeting,Outdoor,Morning
user_150,2023-10-21 10:11:00,Break,60,4,Had a coffee break,Outdoor,Morning
217,2023-10-12 12:58:00,Exercise,30,4,Solo reading session,Gym,Afternoon
24,2023-10-03 10:36:00,Exercise,45,5,Lunch with colleagues,Outdoor,Morning
user_274,2023-10-10 04:16:00,Meeting,60,5,Casual chat with friends,Office,Morning
user_147,2023-10-02 03:39:00,Break,45,3,Went for a walk,Office,Morning
user_171,2023-10-18 04:22:00,Commute,60,2,Workout session,Home,Morning
687,2023-10-23 20:29:00,Casual Lunch,60,1,Workout session,Outdoor,Evening
user_428,2023-10-25 14:27:00,Break,12,5,Discuss project,Gym,Afternoon
914,2023-10-11 05:47:00,Casual Lunch,15,4,Networking event,Office,Morning
user_295,2023-10-24 22:58:00,Casual Lunch,15,4,Had a coffee break,Outdoor,Evening
238,2023-10-05 22:35:00,Meeting,20,3,Workout session,Home,Evening
305,2023-10-30 21:11:00,Break,60,3,Networking event,Home,Evening
461,2023-10-30 14:07:00,Meeting,20,5,Had a coffee break,Home,Afternoon
user_353,2023-10-20 09:21:00,Social Interaction,60,2,Relaxing at home,Gym,Morning
88,2023-10-17 13:26:00,Casual Lunch,12,3,Relaxing at home,Office,Afternoon
user_68,2023-10-03 02:15:00,Break,15,3,Workout session,Home,Morning
user_424,2023-10-30 22:08:00,Social Interaction,15,5,Went for a walk,Outdoor,Evening
617,2023-10-04 11:04:00,Break,60,2,Had a coffee break,Office,Morning
user_223,2023-10-26 14:19:00,Social Interaction,15,2,Team brainstorming,Outdoor,Afternoon
982,2023-10-25 11:55:00,Casual Lunch,45,4,Long commute,Outdoor,Morning
user_386,2023-10-17 14:56:00,Meeting,12,1,Workout session,Home,Afternoon
user_403,2023-10-27 16:34:00,Social Interaction,45,1,Workout session,Home,Afternoon
518,2023-10-14 03:33:00,Break,15,3,Had a coffee break,Home,Morning
114,2023-10-07 10:25:00,Casual Lunch,45,5,Team brainstorming,Office,Morning
580,2023-10-12 12:06:00,Social Interaction,12,1,Lunch with colleagues,Home,Afternoon
user_415,2023-10-27 08:58:00,Social Interaction,45,4,Networking event,Home,Morning
189,2023-10-17 04:46:00,Break,45,5,Had a coffee break,Gym,Morning
396,2023-10-21 09:01:00,Social Interaction,15,1,Solo reading session,Office,Morning
868,2023-10-05 12:22:00,Break,30,5,Went for a walk,Home,Afternoon
580,2023-10-24 00:03:00,Social Interaction,20,5,Casual chat with friends,Office,Morning
user_363,2023-10-11 12:19:00,Break,45,2,Networking event,Office,Afternoon
user_171,2023-10-09 08:15:00,Social Interaction,12,4,Long commute,Office,Morning
user_242,2023-10-11 04:54:00,Break,60,1,Long commute,Outdoor,Morning
990,2023-10-10 20:21:00,Social Interaction,20,2,Networking event,Outdoor,Evening
user_236,2023-10-27 13:08:00,Break,12,5,Relaxing at home,Outdoor,Afternoon
763,2023-10-11 11:26:00,Break,30,5,Discuss project,Outdoor,Morning
user_428,2023-10-07 06:03:00,Commute,60,4,Client meeting,Outdoor,Morning
user_411,2023-10-31 03:35:00,Commute,20,5,Team brainstorming,Outdoor,Morning
869,2023-10-07 11:35:00,Meeting,60,4,Relaxing at home,Outdoor,Morning
664,2023-10-15 09:16:00,Commute,45,4,Solo reading session,Gym,Morning
user_498,2023-10-23 00:43:00,Casual Lunch,15,3,Networking event,Office,Morning
user_105,2023-10-30 15:21:00,Break,20,1,Lunch with colleagues,Outdoor,Afternoon
user_379,2023-10-06 01:37:00,Meeting,12,5,Networking event,Outdoor,Morning
370,2023-10-30 01:01:00,Casual Lunch,30,5,Relaxing at home,Gym,Morning
user_468,2023-10-21 12:26:00,Meeting,15,3,Went for a walk,Office,Afternoon
user_100,2023-10-21 06:04:00,Commute,45,4,Lunch with colleagues,Outdoor,Morning
user_28,2023-10-28 11:05:00,Social Interaction,30,3,Solo reading session,Gym,Morning
user_73,2023-10-11 19:30:00,Break,20,2,Team brainstorming,Office,Evening
620,2023-10-05 17:23:00,Commute,20,4,Lunch with colleagues,Home,Afternoon
user_171,2023-10-06 21:29:00,Casual Lunch,30,2,Client meeting,Outdoor,Evening
3,2023-10-17 22:43:00,Break,45,5,Lunch with colleagues,Office,Evening
user_218,2023-10-18 00:57:00,Exercise,20,2,Team brainstorming,Home,Morning
user_484,2023-10-22 14:34:00,Meeting,15,1,Relaxing at home,Gym,Afternoon
640,2023-10-17 00:08:00,Exercise,15,3,Had a coffee break,Gym,Morning
34,2023-10-08 19:01:00,Break,12,5,Long commute,Home,Evening
user_176,2023-10-02 18:15:00,Casual Lunch,30,2,Went for a walk,Home,Evening
1,2023-10-29 11:03:00,Social Interaction,20,3,Lunch with colleagues,Gym,Morning
569,2023-10-24 15:40:00,Commute,30,5,Solo reading session,Outdoor,Afternoon
user_102,2023-10-10 22:10:00,Social Interaction,30,4,Had a coffee break,Home,Evening
user_306,2023-10-30 11:59:00,Commute,20,1,Long commute,Outdoor,Morning
812,2023-10-28 13:37:00,Casual Lunch,60,3,Lunch with colleagues,Home,Afternoon
user_300,2023-10-06 14:39:00,Meeting,30,2,Discuss project,Office,Afternoon
user_401,2023-10-14 03:31:00,Casual Lunch,20,2,Long commute,Outdoor,Morning
user_432,2023-10-14 09:09:00,Social Interaction,15,3,Lunch with colleagues,Outdoor,Morning
user_435,2023-10-18 23:37:00,Meeting,60,1,Relaxing at home,Gym,Evening
user_151,2023-10-18 16:52:00,Exercise,20,4,Client meeting,Outdoor,Afternoon
31,2023-10-06 02:44:00,Casual Lunch,30,1,Had a coffee break,Outdoor,Morning
user_362,2023-10-19 01:07:00,Meeting,20,2,Had a coffee break,Office,Morning
user_314,2023-10-26 04:39:00,Social Interaction,12,3,Lunch with colleagues,Office,Morning
user_106,2023-10-01 13:21:00,Commute,45,4,Workout session,Home,Afternoon
user_359,2023-10-21 15:19:00,Social Interaction,15,4,Casual chat with friends,Gym,Afternoon
9,2023-10-02 00:25:00,Meeting,12,2,Went for a walk,Home,Morning
user_130,2023-10-10 07:54:00,Break,20,2,Lunch with colleagues,Gym,Morning
25,2023-10-10 04:12:00,Exercise,15,3,Relaxing at home,Outdoor,Morning
899,2023-10-25 14:24:00,Break,60,4,Workout session,Office,Afternoon
504,2023-10-15 20:03:00,Exercise,12,5,Lunch with colleagues,Outdoor,Evening
user_107,2023-10-08 17:58:00,Casual Lunch,45,5,Had a coffee break,Office,Afternoon
user_178,2023-10-17 22:39:00,Social Interaction,20,3,Lunch with colleagues,Gym,Evening
user_462,2023-10-03 19:17:00,Meeting,15,5,Networking event,Gym,Evening
user_336,2023-10-04 07:02:00,Casual Lunch,60,2,Relaxing at home,Office,Morning
395,2023-10-29 18:54:00,Social Interaction,30,3,Had a coffee break,Office,Evening
user_38,2023-10-30 08:09:00,Social Interaction,15,3,Workout session,Outdoor,Morning
319,2023-10-18 11:22:00,Commute,15,4,Went for a walk,Outdoor,Morning
362,2023-10-05 14:31:00,Casual Lunch,12,4,Lunch with colleagues,Outdoor,Afternoon
user_62,2023-10-15 06:52:00,Break,20,1,Casual chat with friends,Office,Morning
698,2023-10-24 21:53:00,Break,30,5,Solo reading session,Office,Evening
936,2023-10-03 22:26:00,Exercise,45,4,Team brainstorming,Gym,Evening
user_404,2023-10-28 06:31:00,Meeting,15,5,Lunch with colleagues,Outdoor,Morning
user_113,2023-10-11 06:18:00,Meeting,12,1,Client meeting,Outdoor,Morning
user_439,2023-10-29 00:11:00,Exercise,30,5,Networking event,Gym,Morning
user_238,2023-10-08 08:13:00,Commute,15,1,Long commute,Home,Morning
309,2023-10-28 20:31:00,Exercise,20,4,Lunch with colleagues,Home,Evening
user_87,2023-10-06 22:47:00,Meeting,20,4,Long commute,Outdoor,Evening
user_173,2023-10-22 23:06:00,Exercise,45,2,Client meeting,Home,Evening
614,2023-10-07 02:32:00,Casual Lunch,12,4,Had a coffee break,Outdoor,Morning
user_175,2023-10-13 04:45:00,Break,30,1,Workout session,Outdoor,Morning
user_114,2023-10-26 13:58:00,Exercise,45,5,Discuss project,Outdoor,Afternoon
890,2023-10-30 00:21:00,Break,45,2,Had a coffee break,Gym,Morning
user_303,2023-10-22 08:34:00,Break,30,4,Relaxing at home,Home,Morning
799,2023-10-23 03:41:00,Exercise,15,5,Long commute,Office,Morning
175,2023-10-26 04:33:00,Break,20,5,Solo reading session,Office,Morning
662,2023-10-08 21:52:00,Meeting,30,1,Long commute,Gym,Evening
user_493,2023-10-13 18:26:00,Commute,15,5,Client meeting,Office,Evening
user_133,2023-10-03 13:37:00,Casual Lunch,12,3,Workout session,Outdoor,Afternoon
278,2023-10-16 05:24:00,Meeting,60,1,Discuss project,Gym,Morning
31,2023-10-27 11:16:00,Meeting,30,5,Workout session,Gym,Morning
user_480,2023-10-18 15:00:00,Meeting,20,3,Relaxing at home,Office,Afternoon
733,2023-10-01 14:53:00,Social Interaction,30,2,Client meeting,Gym,Afternoon
488,2023-10-28 03:00:00,Commute,30,5,Long commute,Home,Morning
778,2023-10-03 15:54:00,Casual Lunch,15,1,Relaxing at home,Home,Afternoon
756,2023-10-25 18:24:00,Break,20,4,Workout session,Home,Evening
381,2023-10-27 22:40:00,Casual Lunch,15,3,Workout session,Gym,Evening
user_73,2023-10-05 08:51:00,Break,30,5,Went for a walk,Gym,Morning
702,2023-10-12 12:59:00,Commute,15,4,Networking event,Outdoor,Afternoon
user_284,2023-10-19 13:46:00,Commute,12,1,Client meeting,Outdoor,Afternoon
43,2023-10-02 04:32:00,Break,12,4,Workout session,Outdoor,Morning
961,2023-10-09 19:56:00,Exercise,45,2,Went for a walk,Outdoor,Evening
617,2023-10-13 22:13:00,Meeting,60,1,Lunch with colleagues,Office,Evening
197,2023-10-05 19:07:00,Exercise,60,3,Solo reading session,Outdoor,Evening
user_221,2023-10-19 01:08:00,Break,30,2,Lunch with colleagues,Home,Morning
85,2023-10-27 15:53:00,Meeting,15,3,Discuss project,Office,Afternoon
189,2023-10-24 23:29:00,Casual Lunch,12,1,Networking event,Office,Evening
user_192,2023-10-06 01:39:00,Social Interaction,60,3,Discuss project,Gym,Morning
user_259,2023-10-01 13:27:00,Exercise,30,2,Client meeting,Office,Afternoon
490,2023-10-22 07:45:00,Casual Lunch,20,4,Relaxing at home,Outdoor,Morning
user_394,2023-10-13 03:11:00,Commute,45,3,Team brainstorming,Outdoor,Morning
user_251,2023-10-26 10:08:00,Commute,45,3,Discuss project,Gym,Morning
user_414,2023-10-19 14:56:00,Commute,30,2,Went for a walk,Home,Afternoon
800,2023-10-04 07:08:00,Meeting,12,1,Lunch with colleagues,Gym,Morning
498,2023-10-22 14:06:00,Break,15,1,Team brainstorming,Office,Afternoon
user_58,2023-10-25 09:16:00,Break,60,5,Lunch with colleagues,Outdoor,Morning
338,2023-10-16 12:39:00,Commute,12,1,Networking event,Office,Afternoon
user_349,2023-10-24 03:54:00,Meeting,30,2,Lunch with colleagues,Home,Morning
310,2023-10-30 04:34:00,Break,12,4,Client meeting,Outdoor,Morning
user_167,2023-10-02 23:35:00,Social Interaction,30,3,Had a coffee break,Home,Evening
397,2023-10-06 05:01:00,Commute,45,1,Had a coffee break,Gym,Morning
778,2023-10-15 19:32:00,Meeting,20,2,Relaxing at home,Gym,Evening
965,2023-10-21 14:53:00,Social Interaction,12,2,Went for a walk,Office,Afternoon
user_283,2023-10-14 19:58:00,Break,45,5,Discuss project,Outdoor,Evening
user_275,2023-10-11 02:18:00,Commute,20,3,Long commute,Outdoor,Morning
424,2023-10-26 07:49:00,Social Interaction,30,3,Networking event,Home,Morning
971,2023-10-22 15:59:00,Break,60,3,Workout session,Office,Afternoon
user_285,2023-10-12 20:41:00,Exercise,60,4,Client meeting,Gym,Evening
user_378,2023-10-10 00:34:00,Social Interaction,20,4,Casual chat with friends,Home,Morning
user_125,2023-10-02 03:27:00,Exercise,15,4,Networking event,Home,Morning
user_324,2023-10-08 21:43:00,Commute,45,5,Team brainstorming,Gym,Evening
user_387,2023-10-14 21:14:00,Social Interaction,12,3,Workout session,Gym,Evening
799,2023-10-23 21:58:00,Commute,20,4,Team brainstorming,Home,Evening
user_415,2023-10-11 04:52:00,Exercise,20,2,Casual chat with friends,Office,Morning
626,2023-10-18 12:29:00,Meeting,30,3,Networking event,Outdoor,Afternoon
292,2023-10-22 04:17:00,Commute,15,3,Discuss project,Gym,Morning
user_50,2023-10-10 06:58:00,Social Interaction,20,1,Went for a walk,Office,Morning
585,2023-10-26 12:41:00,Casual Lunch,30,1,Discuss project,Outdoor,Afternoon
user_19,2023-10-13 18:08:00,Meeting,60,1,Long commute,Office,Evening
970,2023-10-19 04:21:00,Social Interaction,45,4,Relaxing at home,Home,Morning
482,2023-10-18 11:28:00,Commute,15,1,Discuss project,Gym,Morning
user_246,2023-10-03 16:05:00,Social Interaction,15,4,Went for a walk,Gym,Afternoon
user_346,2023-10-31 04:24:00,Exercise,60,3,Went for a walk,Outdoor,Morning
730,2023-10-26 19:56:00,Social Interaction,15,3,Casual chat with friends,Home,Evening
user_320,2023-10-12 02:47:00,Meeting,30,3,Client meeting,Office,Morning
269,2023-10-03 07:55:00,Social Interaction,60,2,Discuss project,Home,Morning
792,2023-10-28 14:10:00,Casual Lunch,15,2,Went for a walk,Office,Afternoon
551,2023-10-23 12:41:00,Break,15,3,Lunch with colleagues,Office,Afternoon
