event_type,duration,engagement_level,text_data,location,time_of_day,overloaded
Social Interaction,90,5,Gym session with trainer,Gym,Afternoon,1
Meeting,20,2,Team-building activity,Office,Morning,0
Break,75,4,Chat with close friends,Office,Evening,1
Casual Lunch,75,1,Daily long commute,Office,Morning,0
Break,15,3,Presentation preparation,Home,Afternoon,0
Break,45,4,Intense workout session,Outdoor,Morning,1
Exercise,60,3,Solo reflection time,Outdoor,Evening,0
Break,30,3,Client negotiation meeting,Office,Afternoon,0
Commute,90,5,Quick coffee break,Outdoor,Evening,1
Social Interaction,60,5,Strategic planning,Gym,Morning,1
Commute,90,3,Client negotiation meeting,Home,Afternoon,0
Exercise,60,4,Gym session with trainer,Gym,Morning,1
Exercise,45,4,Public speaking event,Office,Morning,1
Commute,60,4,Went for a long walk,Outdoor,Morning,1
Meeting,15,4,Public speaking event,Gym,Morning,0
Casual Lunch,45,5,Late-night project work,Gym,Morning,1
Exercise,45,5,Team-building activity,Home,Morning,1
Exercise,120,4,Deep work session,Office,Morning,1
Exercise,45,5,Team-building activity,Home,Evening,1
Commute,75,5,Social gathering,Gym,Morning,1
Casual Lunch,45,4,Stressful work deadline,Outdoor,Afternoon,1
Commute,60,2,Client negotiation meeting,Home,Morning,0
Social Interaction,120,4,Discuss project details,Outdoor,Evening,1
Commute,45,5,Strategic planning,Outdoor,Morning,1
Casual Lunch,120,4,Casual online chat,Gym,Afternoon,1
Commute,15,5,Lunch meeting with potential clients,Outdoor,Morning,0
Casual Lunch,75,1,Daily long commute,Outdoor,Morning,0
Meeting,90,4,Strategic planning,Home,Morning,1
Exercise,60,5,Board meeting with executives,Outdoor,Morning,1
Meeting,75,4,Focused reading session,Outdoor,Evening,1
Casual Lunch,12,4,Presentation preparation,Home,Afternoon,0
Meeting,75,5,Presentation preparation,Office,Morning,1
Commute,12,4,Chat with close friends,Gym,Morning,0
Social Interaction,15,4,Quick coffee break,Outdoor,Evening,0
Break,90,3,Deep work session,Home,Evening,0
Exercise,75,4,Intense workout session,Outdoor,Afternoon,1
Meeting,45,1,Brainstorming new ideas,Outdoor,Evening,0
Casual Lunch,45,5,Focused reading session,Gym,Afternoon,1
Meeting,75,5,Chat with close friends,Outdoor,Morning,1
Break,120,2,Quick coffee break,Home,Evening,0
Meeting,15,4,Late-night project work,Outdoor,Morning,0
Break,12,2,Intense workout session,Office,Morning,0
Casual Lunch,75,5,Quick coffee break,Home,Morning,1
Commute,120,4,Strategic planning,Outdoor,Evening,1
Commute,120,4,Outdoor adventure,Gym,Morning,1
Commute,120,5,Outdoor adventure,Outdoor,Afternoon,1
Commute,120,3,Casual online chat,Gym,Morning,0
Commute,45,5,Strategic planning,Home,Evening,1
Commute,30,4,Went for a long walk,Home,Evening,0
Meeting,30,5,Gym session with trainer,Outdoor,Evening,0
Social Interaction,120,5,Social gathering,Outdoor,Morning,1
Break,45,4,Casual dinner conversation,Outdoor,Morning,1
Social Interaction,12,5,Focused reading session,Office,Afternoon,0
Break,45,1,Chat with close friends,Home,Morning,0
Commute,45,5,Customer support call,Home,Afternoon,1
Break,60,4,Chat with close friends,Gym,Morning,1
Social Interaction,15,3,Focused reading session,Home,Afternoon,0
Meeting,12,5,Daily long commute,Home,Afternoon,0
Exercise,45,5,Strategic planning,Outdoor,Morning,1
Exercise,90,3,Quick coffee break,Home,Morning,0
Meeting,90,4,Customer support call,Home,Morning,1
Meeting,30,2,Client negotiation meeting,Gym,Morning,0
Social Interaction,120,5,Strategic planning,Home,Afternoon,1
Social Interaction,90,3,Engaging lecture,Outdoor,Afternoon,0
Social Interaction,75,4,Presentation preparation,Office,Afternoon,1
Exercise,120,5,Outdoor adventure,Outdoor,Evening,1
Casual Lunch,30,4,Board meeting with executives,Office,Morning,0
Meeting,15,1,Went for a long walk,Home,Morning,0
Casual Lunch,75,5,Strategic planning,Office,Evening,1
Exercise,60,3,Strategic planning,Outdoor,Morning,0
Casual Lunch,12,5,Deep work session,Home,Morning,0
Casual Lunch,20,3,Casual online chat,Gym,Evening,0
Meeting,120,2,Engaging lecture,Outdoor,Afternoon,0
Commute,90,4,Social gathering,Office,Afternoon,1
Social Interaction,90,5,Outdoor adventure,Home,Evening,1
Commute,90,5,Intense workout session,Outdoor,Afternoon,1
Break,60,4,Gym session with trainer,Home,Evening,1
Break,75,4,Casual dinner conversation,Outdoor,Morning,1
Meeting,20,5,Daily long commute,Outdoor,Morning,0
Break,20,4,Meditation and relaxation,Office,Morning,0
Casual Lunch,75,1,Coding session,Home,Morning,0
Meeting,120,5,Social gathering,Outdoor,Afternoon,1
Commute,15,3,Client negotiation meeting,Office,Morning,0
Break,75,5,Networking with professionals,Gym,Morning,1
Exercise,20,5,Relaxing with family,Outdoor,Afternoon,0
Meeting,75,5,Brainstorming new ideas,Outdoor,Afternoon,1
Commute,90,1,Engaging lecture,Office,Afternoon,0
Meeting,20,3,Late-night project work,Outdoor,Morning,0
Meeting,60,5,Deep work session,Home,Morning,1
Exercise,15,1,Social gathering,Gym,Morning,0
Meeting,120,1,Casual dinner conversation,Gym,Evening,0
Exercise,12,4,Brainstorming new ideas,Gym,Morning,0
Commute,20,2,Meditation and relaxation,Gym,Morning,0
Meeting,45,4,Board meeting with executives,Gym,Evening,1
Casual Lunch,60,2,Focused reading session,Office,Afternoon,0
Social Interaction,60,4,Quick coffee break,Outdoor,Morning,1
Exercise,120,5,Engaging lecture,Office,Morning,1
Casual Lunch,90,4,Intense workout session,Gym,Afternoon,1
Break,45,5,Went for a long walk,Outdoor,Morning,1
Meeting,60,5,Late-night project work,Gym,Afternoon,1
Break,60,4,Outdoor adventure,Outdoor,Morning,1
Social Interaction,30,2,Team-building activity,Gym,Evening,0
Commute,45,2,Team-building activity,Outdoor,Morning,0
Social Interaction,12,4,Solo reflection time,Gym,Morning,0
Meeting,60,4,Team-building activity,Gym,Afternoon,1
Casual Lunch,30,4,Chat with close friends,Outdoor,Evening,0
Social Interaction,12,3,Lunch meeting with potential clients,Office,Afternoon,0
Break,120,4,Casual dinner conversation,Office,Morning,1
Meeting,45,3,Relaxing with family,Outdoor,Evening,0
Break,12,2,Customer support call,Home,Morning,0
Exercise,90,4,Brainstorming new ideas,Outdoor,Evening,1
Social Interaction,15,4,Customer support call,Outdoor,Morning,0
Commute,60,4,Customer support call,Outdoor,Afternoon,1
Commute,75,5,Engaging lecture,Gym,Afternoon,1
Meeting,60,4,Late-night project work,Gym,Morning,1
Meeting,90,3,Engaging lecture,Office,Afternoon,0
Meeting,120,3,Casual online chat,Office,Evening,0
Break,75,3,Solo reflection time,Gym,Morning,0
Meeting,45,2,Presentation preparation,Office,Morning,0
Commute,45,4,Deep work session,Home,Evening,1
Commute,15,1,Went for a long walk,Office,Morning,0
Break,30,2,Outdoor adventure,Office,Morning,0
Meeting,75,4,Social gathering,Outdoor,Morning,1
Casual Lunch,20,2,Networking with professionals,Office,Evening,0
Break,120,4,Casual dinner conversation,Office,Afternoon,1
Exercise,12,4,Public speaking event,Office,Morning,0
Exercise,45,3,Intense workout session,Outdoor,Afternoon,0
Break,45,4,Networking with professionals,Outdoor,Morning,1
Break,90,5,Casual online chat,Outdoor,Morning,1
Exercise,75,5,Client negotiation meeting,Outdoor,Evening,1
Meeting,30,4,Casual online chat,Home,Afternoon,0
Exercise,15,3,Meditation and relaxation,Office,Afternoon,0
Social Interaction,75,5,Coding session,Office,Morning,1
Commute,120,5,Solo reflection time,Office,Morning,1
Meeting,75,4,Casual dinner conversation,Gym,Evening,1
Exercise,90,4,Social gathering,Outdoor,Afternoon,1
Break,90,4,Late-night project work,Office,Morning,1
Social Interaction,45,4,Solo reflection time,Outdoor,Morning,1
Meeting,15,2,Outdoor adventure,Outdoor,Afternoon,0
Commute,75,4,Brainstorming new ideas,Outdoor,Afternoon,1
Exercise,60,5,Went for a long walk,Gym,Morning,1
Break,75,5,Stressful work deadline,Office,Evening,1
Commute,20,3,Deep work session,Gym,Afternoon,0
Break,75,4,Intense workout session,Office,Afternoon,1
Break,75,4,Board meeting with executives,Gym,Morning,1
Commute,45,5,Outdoor adventure,Outdoor,Morning,1
Casual Lunch,45,4,Casual online chat,Outdoor,Morning,1
Exercise,30,5,Presentation preparation,Outdoor,Evening,0
Casual Lunch,75,2,Solo reflection time,Gym,Evening,0
Social Interaction,15,2,Daily long commute,Outdoor,Morning,0
Commute,45,4,Gym session with trainer,Home,Evening,1
Social Interaction,75,5,Daily long commute,Office,Morning,1
Social Interaction,45,1,Quick coffee break,Office,Morning,0
Break,15,2,Relaxing with family,Office,Morning,0
Break,60,2,Team-building activity,Gym,Evening,0
Casual Lunch,75,5,Lunch meeting with potential clients,Office,Morning,1
Casual Lunch,120,2,Focused reading session,Outdoor,Evening,0
Meeting,120,5,Team-building activity,Outdoor,Morning,1
Meeting,30,2,Daily long commute,Home,Evening,0
Social Interaction,12,2,Stressful work deadline,Home,Evening,0
Break,30,2,Customer support call,Outdoor,Morning,0
Social Interaction,15,3,Stressful work deadline,Gym,Evening,0
Commute,45,4,Went for a long walk,Home,Morning,1
Social Interaction,45,4,Casual dinner conversation,Gym,Afternoon,1
Break,60,5,Late-night project work,Home,Afternoon,1
Commute,90,4,Intense workout session,Outdoor,Morning,1
Casual Lunch,45,5,Presentation preparation,Home,Afternoon,1
Break,15,4,Meditation and relaxation,Gym,Morning,0
Casual Lunch,45,5,Gym session with trainer,Gym,Morning,1
Social Interaction,45,1,Focused reading session,Office,Morning,0
Meeting,45,4,Presentation preparation,Home,Morning,1
Casual Lunch,45,5,Lunch meeting with potential clients,Home,Afternoon,1
Commute,120,3,Coding session,Outdoor,Afternoon,0
Casual Lunch,75,5,Public speaking event,Gym,Evening,1
Exercise,12,2,Went for a long walk,Office,Morning,0
Social Interaction,90,2,Went for a long walk,Home,Afternoon,0
Exercise,60,4,Chat with close friends,Gym,Morning,1
Commute,120,5,Customer support call,Outdoor,Morning,1
Exercise,45,3,Brainstorming new ideas,Home,Evening,0
Break,75,5,Board meeting with executives,Home,Morning,1
Break,12,5,Gym session with trainer,Office,Morning,0
Commute,45,4,Casual dinner conversation,Outdoor,Evening,1
Commute,12,2,Team-building activity,Gym,Morning,0
Break,45,4,Discuss project details,Gym,Morning,1
Casual Lunch,15,3,Engaging lecture,Gym,Evening,0
Social Interaction,20,4,Gym session with trainer,Office,Morning,0
Break,15,1,Gym session with trainer,Home,Afternoon,0
Commute,120,4,Client negotiation meeting,Home,Afternoon,1
Social Interaction,120,2,Lunch meeting with potential clients,Office,Morning,0
Commute,12,4,Discuss project details,Home,Evening,0
Commute,75,5,Networking with professionals,Outdoor,Morning,1
Commute,75,5,Strategic planning,Gym,Morning,1
Break,90,4,Late-night project work,Office,Morning,1
Commute,15,1,Stressful work deadline,Gym,Afternoon,0
Social Interaction,90,5,Stressful work deadline,Office,Morning,1
Casual Lunch,120,5,Team-building activity,Outdoor,Afternoon,1
Social Interaction,120,1,Coding session,Gym,Morning,0
Exercise,15,3,Meditation and relaxation,Home,Morning,0
Break,90,1,Stressful work deadline,Outdoor,Evening,0
Exercise,90,5,Public speaking event,Gym,Morning,1
Meeting,120,5,Late-night project work,Home,Morning,1
Casual Lunch,20,5,Presentation preparation,Home,Morning,0
Commute,15,3,Casual dinner conversation,Home,Morning,0
Meeting,45,5,Intense workout session,Home,Morning,1
Meeting,75,4,Lunch meeting with potential clients,Gym,Afternoon,1
Social Interaction,45,2,Casual online chat,Office,Evening,0
Casual Lunch,75,5,Brainstorming new ideas,Outdoor,Morning,1
Meeting,75,4,Coding session,Outdoor,Afternoon,1
Casual Lunch,75,4,Discuss project details,Office,Evening,1
Break,60,2,Brainstorming new ideas,Outdoor,Afternoon,0
Social Interaction,60,4,Deep work session,Home,Morning,1
Social Interaction,45,5,Presentation preparation,Home,Afternoon,1
Casual Lunch,60,4,Social gathering,Outdoor,Morning,1
Meeting,120,4,Board meeting with executives,Outdoor,Morning,1
Meeting,45,5,Presentation preparation,Office,Afternoon,1
Social Interaction,20,3,Daily long commute,Office,Morning,0
Break,45,4,Engaging lecture,Office,Morning,1
Meeting,75,1,Coding session,Gym,Afternoon,0
Commute,15,4,Late-night project work,Outdoor,Evening,0
Break,75,5,Presentation preparation,Office,Evening,1
Casual Lunch,90,2,Networking with professionals,Home,Afternoon,0
Commute,20,4,Customer support call,Gym,Morning,0
Commute,20,1,Brainstorming new ideas,Office,Evening,0
Casual Lunch,12,3,Casual online chat,Outdoor,Afternoon,0
Exercise,120,5,Team-building activity,Outdoor,Afternoon,1
Casual Lunch,30,5,Discuss project details,Home,Afternoon,0
Social Interaction,90,5,Meditation and relaxation,Office,Morning,1
Meeting,45,1,Casual dinner conversation,Home,Afternoon,0
Meeting,90,5,Solo reflection time,Office,Morning,1
Meeting,20,4,Coding session,Gym,Afternoon,0
Exercise,45,4,Daily long commute,Office,Afternoon,1
Commute,20,2,Chat with close friends,Gym,Evening,0
Commute,90,3,Solo reflection time,Office,Morning,0
Break,90,2,Customer support call,Home,Morning,0
Casual Lunch,90,4,Intense workout session,Home,Morning,1
Social Interaction,20,1,Coding session,Outdoor,Morning,0
Exercise,120,5,Gym session with trainer,Home,Morning,1
Break,90,1,Gym session with trainer,Home,Afternoon,0
Social Interaction,45,4,Engaging lecture,Home,Morning,1
Meeting,90,5,Outdoor adventure,Home,Afternoon,1
Meeting,60,3,Social gathering,Home,Morning,0
Commute,120,1,Went for a long walk,Outdoor,Morning,0
Break,12,5,Coding session,Gym,Evening,0
Social Interaction,75,1,Casual online chat,Outdoor,Morning,0
Meeting,75,2,Focused reading session,Outdoor,Morning,0
Casual Lunch,30,4,Strategic planning,Home,Afternoon,0
Social Interaction,45,5,Focused reading session,Office,Afternoon,1
Exercise,15,1,Casual dinner conversation,Outdoor,Morning,0
Break,120,1,Chat with close friends,Office,Evening,0
Exercise,60,2,Stressful work deadline,Outdoor,Morning,0
Exercise,60,1,Stressful work deadline,Outdoor,Evening,0
Commute,45,5,Team-building activity,Office,Morning,1
Break,20,1,Stressful work deadline,Home,Morning,0
Commute,45,5,Quick coffee break,Outdoor,Afternoon,1
Break,12,2,Stressful work deadline,Outdoor,Morning,0
Break,60,4,Social gathering,Home,Afternoon,1
Break,120,1,Casual dinner conversation,Office,Morning,0
Meeting,12,5,Went for a long walk,Home,Afternoon,0
Exercise,120,5,Strategic planning,Gym,Afternoon,1
Commute,45,1,Late-night project work,Gym,Evening,0
Break,15,5,Meditation and relaxation,Home,Morning,0
Break,120,1,Solo reflection time,Gym,Morning,0
Casual Lunch,45,5,Went for a long walk,Outdoor,Morning,1
Casual Lunch,15,3,Brainstorming new ideas,Outdoor,Afternoon,0
Meeting,90,4,Coding session,Gym,Morning,1
Exercise,30,4,Public speaking event,Office,Morning,0
Meeting,90,5,Late-night project work,Outdoor,Morning,1
Exercise,75,5,Deep work session,Home,Morning,1
Commute,90,4,Late-night project work,Home,Morning,1
Break,75,5,Strategic planning,Outdoor,Morning,1
Casual Lunch,60,3,Coding session,Gym,Morning,0
Social Interaction,90,3,Late-night project work,Gym,Evening,0
Exercise,60,5,Engaging lecture,Home,Morning,1
Meeting,90,4,Team-building activity,Outdoor,Morning,1
Meeting,45,5,Brainstorming new ideas,Gym,Morning,1
Casual Lunch,75,2,Board meeting with executives,Office,Morning,0
Social Interaction,45,5,Public speaking event,Home,Evening,1
Casual Lunch,20,1,Focused reading session,Office,Morning,0
Exercise,15,1,Public speaking event,Outdoor,Morning,0
Exercise,90,4,Deep work session,Home,Morning,1
Casual Lunch,45,2,Public speaking event,Office,Evening,0
Social Interaction,120,3,Quick coffee break,Home,Afternoon,0
Social Interaction,12,5,Board meeting with executives,Home,Morning,0
Exercise,120,5,Networking with professionals,Home,Morning,1
Social Interaction,75,3,Discuss project details,Office,Morning,0
Social Interaction,120,4,Discuss project details,Home,Evening,1
Casual Lunch,60,5,Brainstorming new ideas,Office,Evening,1
Break,30,1,Daily long commute,Office,Morning,0
Casual Lunch,45,4,Casual dinner conversation,Home,Morning,1
Meeting,120,2,Client negotiation meeting,Office,Morning,0
Social Interaction,30,5,Casual dinner conversation,Office,Morning,0
Casual Lunch,120,4,Strategic planning,Outdoor,Afternoon,1
Meeting,75,5,Outdoor adventure,Office,Evening,1
Social Interaction,90,4,Focused reading session,Office,Afternoon,1
Break,60,4,Client negotiation meeting,Outdoor,Evening,1
Commute,45,5,Customer support call,Home,Morning,1
Commute,45,4,Networking with professionals,Gym,Evening,1
Casual Lunch,12,2,Discuss project details,Office,Morning,0
Exercise,90,4,Discuss project details,Office,Morning,1
Meeting,60,3,Customer support call,Outdoor,Afternoon,0
Meeting,90,2,Board meeting with executives,Office,Morning,0
Casual Lunch,75,1,Board meeting with executives,Office,Evening,0
Commute,30,4,Deep work session,Office,Morning,0
Break,60,4,Customer support call,Gym,Afternoon,1
Social Interaction,15,3,Customer support call,Office,Afternoon,0
Commute,45,5,Engaging lecture,Outdoor,Afternoon,1
Exercise,60,4,Brainstorming new ideas,Office,Morning,1
Exercise,75,5,Late-night project work,Office,Morning,1
Commute,30,4,Lunch meeting with potential clients,Home,Afternoon,0
Exercise,45,4,Solo reflection time,Gym,Afternoon,1
Commute,120,2,Went for a long walk,Office,Morning,0
Break,45,4,Brainstorming new ideas,Outdoor,Evening,1
Casual Lunch,75,4,Intense workout session,Office,Morning,1
Break,75,4,Networking with professionals,Gym,Evening,1
Exercise,60,5,Lunch meeting with potential clients,Home,Morning,1
Social Interaction,15,3,Solo reflection time,Office,Morning,0
Break,120,1,Brainstorming new ideas,Home,Morning,0
Break,45,4,Engaging lecture,Office,Afternoon,1
Exercise,20,5,Networking with professionals,Home,Evening,0
Meeting,60,5,Went for a long walk,Home,Morning,1
Commute,60,2,Focused reading session,Office,Morning,0
Casual Lunch,30,2,Meditation and relaxation,Gym,Afternoon,0
Social Interaction,45,5,Social gathering,Gym,Morning,1
Casual Lunch,120,4,Brainstorming new ideas,Outdoor,Afternoon,1
Social Interaction,120,2,Team-building activity,Home,Morning,0
Commute,75,5,Board meeting with executives,Home,Morning,1
Casual Lunch,75,4,Stressful work deadline,Home,Afternoon,1
Social Interaction,15,1,Casual online chat,Office,Evening,0
Meeting,60,1,Networking with professionals,Gym,Evening,0
Casual Lunch,20,4,Lunch meeting with potential clients,Outdoor,Afternoon,0
Break,45,5,Team-building activity,Home,Morning,1
Exercise,30,5,Networking with professionals,Office,Afternoon,0
Break,90,5,Team-building activity,Outdoor,Evening,1
Meeting,60,4,Quick coffee break,Office,Afternoon,1
Exercise,20,3,Gym session with trainer,Office,Afternoon,0
Break,45,4,Late-night project work,Office,Evening,1
Social Interaction,12,2,Solo reflection time,Home,Afternoon,0
Commute,12,4,Customer support call,Outdoor,Evening,0
Casual Lunch,60,1,Coding session,Office,Morning,0
Break,12,4,Coding session,Home,Evening,0
Break,15,5,Gym session with trainer,Home,Afternoon,0
Casual Lunch,45,5,Board meeting with executives,Office,Afternoon,1
Exercise,90,4,Social gathering,Office,Morning,1
Commute,60,5,Chat with close friends,Gym,Evening,1
Casual Lunch,15,5,Went for a long walk,Office,Morning,0
Break,120,5,Brainstorming new ideas,Home,Morning,1
Exercise,120,5,Team-building activity,Office,Morning,1
Commute,45,4,Team-building activity,Office,Morning,1
Exercise,20,2,Brainstorming new ideas,Home,Afternoon,0
Casual Lunch,120,5,Chat with close friends,Gym,Afternoon,1
Social Interaction,45,4,Presentation preparation,Home,Evening,1
Break,120,3,Social gathering,Gym,Afternoon,0
Meeting,45,5,Gym session with trainer,Outdoor,Morning,1
Commute,45,1,Client negotiation meeting,Outdoor,Morning,0
Social Interaction,30,2,Brainstorming new ideas,Gym,Evening,0
Break,45,5,Stressful work deadline,Outdoor,Afternoon,1
Exercise,75,3,Stressful work deadline,Gym,Morning,0
Social Interaction,45,5,Solo reflection time,Home,Morning,1
Break,45,5,Stressful work deadline,Office,Morning,1
Commute,30,4,Coding session,Gym,Afternoon,0
Casual Lunch,75,4,Late-night project work,Gym,Evening,1
Casual Lunch,120,4,Went for a long walk,Office,Evening,1
Casual Lunch,12,3,Brainstorming new ideas,Gym,Afternoon,0
Meeting,12,3,Social gathering,Outdoor,Evening,0
Meeting,90,4,Public speaking event,Home,Afternoon,1
Commute,60,4,Chat with close friends,Outdoor,Morning,1
Exercise,75,2,Focused reading session,Gym,Evening,0
Casual Lunch,90,4,Strategic planning,Gym,Evening,1
Social Interaction,120,5,Outdoor adventure,Gym,Morning,1
Casual Lunch,60,4,Client negotiation meeting,Gym,Morning,1
Break,90,4,Team-building activity,Office,Morning,1
Meeting,45,5,Lunch meeting with potential clients,Gym,Evening,1
Social Interaction,12,4,Board meeting with executives,Outdoor,Morning,0
Casual Lunch,75,4,Presentation preparation,Home,Evening,1
Commute,90,4,Brainstorming new ideas,Gym,Afternoon,1
Break,90,5,Casual online chat,Home,Afternoon,1
Social Interaction,120,4,Presentation preparation,Gym,Afternoon,1
Casual Lunch,120,4,Coding session,Home,Afternoon,1
Meeting,20,1,Engaging lecture,Office,Evening,0
Casual Lunch,30,1,Stressful work deadline,Home,Morning,0
Meeting,12,5,Casual online chat,Office,Morning,0
